Observatório do Plano Nacional de Educação

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Total;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Brasil;0;69,8;2424385,0;71,2;2589413,0;72,7;2811323,0;72,3;2731852,0;72,4;2886056,0;72,5;2865834,0;74,1;2713935,0;76,5;2875184,0;78,6;2989932,0;79,1;3197514,0;79,4;3249960,0;79,8;3351382,0;79,4;3265250,0;81,5;3467008,0;
Norte;1;70,6;153940,0;77,1;154366,0;73,0;159095,0;71,9;214788,0;68,5;208563,0;70,6;210045,0;72,6;220454,0;75,1;242760,0;78,0;262863,0;79,3;299200,0;78,3;281024,0;81,8;317936,0;80,4;310994,0;81,4;335146,0;
Nordeste;2;70,1;753424,0;72,0;783675,0;73,1;832541,0;71,5;830113,0;72,2;843963,0;71,5;796075,0;75,1;849003,0;77,1;867505,0;78,8;922507,0;80,9;1010328,0;79,4;952261,0;80,1;983812,0;78,9;957694,0;80,3;1001246,0;
Sudeste;3;71,0;982690,0;71,2;983962,0;73,4;1091240,0;75,3;1064546,0;75,4;1160885,0;76,5;1139772,0;76,4;1036774,0;78,6;1241125,0;81,0;1155499,0;79,2;1214217,0;81,2;1292774,0;81,0;1378246,0;81,6;1340783,0;83,0;1419325,0;
Sul;4;65,5;305360,0;63,2;326812,0;66,8;331764,0;69,2;336599,0;68,2;328189,0;68,7;343145,0;70,0;344754,0;73,2;367662,0;72,2;401845,0;76,3;430381,0;73,0;413877,0;74,5;447735,0;74,4;421647,0;78,5;471018,0;
Centro-Oeste;5;70,8;136899,0;70,6;157350,0;75,3;171410,0;69,7;165279,0;73,1;174134,0;74,3;183391,0;72,8;167471,0;76,8;192000,0;78,4;204963,0;80,5;203112,0;81,0;224618,0;77,9;234075,0;77,6;202532,0;79,3;233233,0;

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Renda familiar per capita / 25% a 50%;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Brasil;0;76,3;2003438,0;77,1;2077312,0;77,8;2226212,0;78,0;2302634,0;79,0;2355680,0;79,4;2367689,0;79,5;2281886,0;81,1;2291148,0;81,7;2415977,0;82,5;2209402,0;82,5;2238016,0;83,7;2274401,0;82,3;2144829,0;83,5;2357223,0;
Norte;1;75,4;135412,0;77,1;149372,0;78,1;153006,0;75,4;212782,0;74,1;186073,0;73,0;207124,0;73,0;200456,0;79,5;226033,0;80,7;215876,0;81,7;246440,0;82,4;244247,0;82,1;236058,0;79,8;231316,0;84,8;273143,0;
Nordeste;2;72,9;683962,0;74,9;782694,0;75,6;760918,0;74,2;733793,0;74,5;729464,0;75,8;723593,0;75,8;666485,0;76,9;668300,0;79,9;749361,0;79,6;727574,0;81,2;812804,0;81,9;780768,0;80,6;777521,0;83,1;767265,0;
Sudeste;3;80,9;880153,0;81,1;839891,0;81,1;898286,0;81,5;875558,0;82,9;854324,0;81,1;876227,0;83,4;821322,0;84,8;828368,0;84,3;839641,0;84,8;760392,0;84,7;770840,0;87,0;767884,0;85,7;868295,0;87,2;852315,0;
Sul;4;72,2;266961,0;75,6;236002,0;79,4;291296,0;78,8;261624,0;78,5;280606,0;76,7;277392,0;77,5;272825,0;80,6;266020,0;80,4;262653,0;78,8;274535,0;79,0;248414,0;84,8;272622,0;82,9;262386,0;83,2;251897,0;
Centro-Oeste;5;72,3;138628,0;74,1;145929,0;75,0;157249,0;78,5;164222,0;76,7;170741,0;77,5;159555,0;76,5;176075,0;83,4;169191,0;80,4;172550,0;82,6;157102,0;83,1;151303,0;83,2;169173,0;75,8;148800,0;80,6;153088,0;

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Renda familiar per capita / 50% a 75%;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Brasil;0;84,9;1787470,0;84,5;1642360,0;87,1;1580226,0;86,3;1685122,0;86,3;1449055,0;86,5;1328470,0;85,4;1343233,0;86,7;1468887,0;87,8;1365548,0;85,1;1433006,0;85,9;1418644,0;87,7;1463240,0;86,6;1653216,0;89,1;1386746,0;
Norte;1;83,3;116822,0;82,5;119596,0;85,6;121141,0;81,0;155371,0;79,0;151677,0;79,2;147309,0;81,6;155877,0;80,4;152831,0;83,8;141403,0;83,3;152076,0;88,5;162073,0;84,8;153101,0;83,1;142031,0;84,2;131250,0;
Nordeste;2;80,6;519457,0;80,9;514638,0;78,7;519263,0;79,9;509407,0;80,2;498397,0;80,6;495467,0;81,5;446043,0;82,7;443284,0;84,7;452272,0;84,3;413763,0;83,6;400097,0;84,7;401768,0;85,9;413033,0;82,6;383542,0;
Sudeste;3;89,9;730445,0;88,1;715581,0;91,2;739254,0;90,7;748468,0;89,6;753883,0;91,5;658682,0;90,0;625714,0;89,3;587864,0;90,2;604609,0;86,5;579166,0;90,0;556385,0;90,9;567328,0;90,7;645578,0;92,1;565201,0;
Sul;4;82,9;245629,0;86,2;242607,0;86,0;230882,0;83,8;242362,0;85,0;236527,0;85,6;241201,0;84,3;240792,0;86,0;241616,0;86,7;231491,0;86,6;228894,0;85,8;221376,0;88,9;215021,0;82,9;222996,0;91,3;209969,0;
Centro-Oeste;5;81,0;130342,0;81,5;124281,0;83,9;133053,0;80,0;132007,0;84,0;125933,0;85,2;122957,0;81,7;114651,0;82,8;117724,0;83,1;113451,0;87,6;126945,0;83,6;132397,0;85,1;114443,0;86,2;121269,0;88,0;122697,0;

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Renda familiar per capita / 25% mais ricos;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Brasil;0;95,2;1370798,0;94,5;1398236,0;96,4;1337741,0;95,3;1282496,0;94,0;1286416,0;94,7;1253938,0;94,4;1144909,0;95,0;1173101,0;94,5;1089758,0;93,7;990525,0;93,7;960767,0;95,3;969157,0;94,1;939338,0;95,7;933386,0;
Norte;1;92,3;99533,0;93,4;94548,0;91,4;99321,0;87,3;112648,0;87,3;110845,0;89,4;115865,0;92,7;116046,0;92,6;119877,0;90,4;106683,0;88,8;110396,0;92,2;99901,0;92,7;106699,0;87,7;88627,0;92,4;110249,0;
Nordeste;2;92,9;437840,0;90,0;434879,0;91,0;397350,0;92,9;385533,0;92,1;357185,0;92,0;333383,0;91,1;332315,0;93,6;346743,0;92,8;317591,0;91,2;282830,0;89,5;288273,0;93,5;301012,0;91,8;272118,0;92,3;299723,0;
Sudeste;3;96,0;547998,0;95,8;559258,0;98,3;556042,0;96,7;548195,0;96,2;518248,0;95,6;497845,0;95,5;431246,0;97,3;467060,0;95,7;424955,0;95,1;378123,0;95,9;364560,0;95,3;400819,0;96,8;351699,0;96,8;343896,0;
Sul;4;95,1;203212,0;92,9;218720,0;96,5;204774,0;94,6;194912,0;95,3;190581,0;96,0;175814,0;92,3;166043,0;92,0;162016,0;95,8;181791,0;95,4;139573,0;89,4;153121,0;96,3;124169,0;93,7;136838,0;96,5;140874,0;
Centro-Oeste;5;94,3;117384,0;94,6;123160,0;93,8;107617,0;94,9;113897,0;93,3;96989,0;94,3;111089,0;95,3;99617,0;95,0;100341,0;93,5;99211,0;94,1;95400,0;95,1;97042,0;92,0;85511,0;94,1;86476,0;95,5;79286,0;
